id,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209
1000001,22627,22627,20856,20856,20856,20856,20856,20856,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,18471,17386,17386,17386,17386,9572,9572,9572,9572,9572,9572,9572,9572,9572,9572,9572,9572
1000002,21629,21629,20651,20651,20651,20651,20651,20651,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,16388,16388,16388,16388,9762,9762,9762,9762,9762,9762,9762,9762,9762,9762,9762,9762
1000003,20626,20626,20493,20493,20493,20493,20493,20493,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,16469,15385,15385,15385,15385,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050
1000004,19628,19628,19628,19628,19628,19628,19628,19628,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,15471,14387,14387,14387,14387,10425,10425,10425,10425,10425,10425,10425,10425,10425,10425,10143,10143
1000005,18625,18625,18625,18625,18625,18625,18625,18625,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,14468,13385,13385,13385,13385,10881,10881,10881,10881,10881,10881,10881,10881,10881,10881,10044,10044
1000006,17621,17621,17621,17621,17621,17621,17621,17621,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,12382,12382,12382,12382,11408,11408,11408,11408,11408,11408,11408,10528,10524,10524,10044,10044
1000007,16623,16623,16623,16623,16623,16623,16623,16623,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,12467,11384,11384,11384,11384,11384,11384,11384,11384,11384,11384,11384,9531,9526,9526,9334,9334
1000008,15620,15620,15620,15620,15620,15620,15620,15620,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,11464,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,8529,8525,8525,8331,8331
1000009,14622,14622,14622,14622,14622,14622,14622,14622,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,10466,9385,9385,9385,9385,9385,9385,9385,9385,9385,9385,9385,7532,7528,7528,7333,7333
1000010,13619,13619,13619,13619,13619,13619,13619,13619,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,8383,8383,8383,8383,8383,8383,8383,8383,8383,8383,8383,6531,6526,6526,6329,6329
1000011,12621,12621,12621,12621,12621,12621,12621,12621,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,8465,7386,7386,7386,7386,7386,7386,7386,7386,7386,7386,7386,5535,5531,5531,5331,5331
1000012,11618,11618,11618,11618,11618,11618,11618,11618,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,7462,6386,6386,6386,6386,6386,6386,6386,6386,6386,6386,6386,4535,4532,4532,4328,4328
1000013,10620,10620,10620,10620,10620,10620,10620,10620,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,6465,5390,5390,5390,5390,5390,5390,5390,5390,5390,5390,5390,3543,3539,3539,3329,3329
1000014,9617,9617,9617,9617,9617,9617,9617,9617,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,5462,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,2551,2547,2547,2326,2326
1000015,8620,8620,8620,8620,8620,8620,8620,8620,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,1576,1575,1575,1328,1328
1000016,7617,7617,7617,7617,7617,7617,7617,7617,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,3465,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,669,669,669,324,324
1000017,6620,6620,6620,6620,6620,6620,6620,6620,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,622,560,556,556,556
1000018,5618,5618,5618,5618,5618,5618,5618,5618,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594
1000019,4622,4622,4622,4622,4622,4622,4622,4622,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
1000020,3622,3622,3622,3622,3622,3622,3622,3622,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,325,311,311,311,311
1000021,2630,2630,2630,2630,2630,2630,2630,2630,1396,1396,1396,1396,1396,1396,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616
1000022,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373
1000023,685,685,685,685,685,685,685,685,685,685,685,685,685,685,238,238,238,238,238,238,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,224,224,224,224,224,224,224,224,224,224,224,224,224
1000024,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,346,346
1000025,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349,668,668,668,668
1000026,2040,2040,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,324,324,324,324
1000027,1037,1037,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,297,297
1000028,42,42,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
1000029,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,146,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
1000030,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468
1000031,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253
1000032,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,81,77,77,77,77,77,77,77,77,77,77,77,77,77,77
1000033,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,520,520,520,520,520,520,520,520,520,520,520,256,256,256,256,256,256,256,101,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
